id,collection,dc.contributor.author,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.title.alternative,dc.type,ethz.availability,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.ecitpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.hasPart,ethz.relation.isCitedBy,ethz.relation.isNewVersionOf,ethz.relation.isPartOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.title.subtitle,ethz.version.deposit
"285433","20.500.11850/3","Floriancic, Marius G.||van Meerveld, Ilja||Smoorenburg, Maarten||Margreth, Michael||Naef, Felix||Kirchner, James W.||Molnar, Peter",,"2019-03-14T07:46:19Z","2018-11-27T08:46:32Z||2018-11-27T09:25:52Z||2019-03-14T07:46:19Z","2018-12-30","2018-10-19",,,,"0885-6087||1099-1085",,"10.1002/hyp.13302","http://hdl.handle.net/20.500.11850/306212","en","John Wiley & Sons",,,"alpine catchments||discharge measurements||drainage||hillslope contribution||low flow||Quaternary geomorphology||Recession analysis||recession analysis||storage","Spatio-temporal variability in contributions to low flows in the high Alpine Poschiavino catchment",,"Journal Article","Metadata only",,"2018-11-27T08:46:48Z",,,,,"yes",,,,,,,,,,,,"85057003012",,"000452789800009","Hydrol. Process.","26","Hydrological Processes","32","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering::03473 - Burlando, Paolo / Burlando, Paolo||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","02115||03473||03798","03473||03798",,"3953","3938","London","published",,,,,,,,,,"2019-03-14T07:46:29Z","2022-03-28T22:32:25Z","true",,"FORM",,,
"258164","20.500.11850/3","Zheng, Fu||Gerken, Tobias||Bromley, Gabriel||Araújo, Alessandro||Bonal, Damien||Bonal, Damien||Ficklin, Darren||Fuentes, Jose D.||Goulden, Michael||Hirano, Takashi||Kosugi, Yoshiko||Liddell, Michael||Nicolini, Giacomo||Niu, Shuli||Roupsard, Olivier||Stefani, Paolo||Mi, Chunrong||Tofte, Zaddy||Jingfeng, Xiao||Valentini, Riccardo||Wolf, Sebastian||Stoy, Paul C.",,"2018-10-15T13:34:53Z","2018-10-13T11:18:36Z||2018-10-15T13:13:10Z||2018-10-15T13:34:53Z","2018-12-15","2018-09-12",,,,"0168-1923||1873-2240",,"10.1016/j.agrformet.2018.09.001","http://hdl.handle.net/20.500.11850/295727","en","Elsevier",,,"Climate variability||Ecosystem respiration||Eddy covariance||Gross primary productivity||Net ecosystem carbon dioxide exchange||Tropical rainforest","The surface-atmosphere exchange of carbon dioxide in tropical rainforests: Sensitivity to environmental drivers and flux measurement methodology",,"Journal Article","Metadata only",,"2018-10-13T11:21:03Z",,,,,"yes",,,,,,,,,,,,"85053139172",,"000449236500028","Agric. for. meteorol.",,"Agricultural and Forest Meteorology","263","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"307","292","Amsterdam","published",,,,,,,,,,"2018-10-15T13:35:06Z","2020-02-15T15:25:41Z","true",,"SCOPUS",,,
"287219","20.500.11850/10","Berghuijs, Wouter Reinier||Kirchner, James W.",,"2019-03-26T08:11:18Z","2019-01-31T17:07:19Z||2019-03-26T08:11:18Z","2018-12-12",,,,,,,,"http://hdl.handle.net/20.500.11850/322182","en","American Geophysical Union",,,,"Scales and causes of European river flooding",,"Other Conference Item","Metadata only",,"2019-01-31T17:07:33Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,"https://agu.confex.com/agu/fm18/prelim.cgi/Paper/362705",,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,,"H34C-04","s.l.","published",,,,,,,,,,"2019-03-26T08:11:23Z","2019-03-26T08:11:23Z","true","1 p.","FORM",,,
"283230","20.500.11850/10","von Freyberg, Jana||Allen, Scott Thomas||Seeger, Stefan||Weiler, Markus||Rinderer, Michael||Kirchner, James W.||Studer, Bjørn",,"2019-02-28T08:56:13Z","2018-12-11T11:09:12Z||2019-02-28T08:56:13Z","2018-12-12",,,,,,,,"http://hdl.handle.net/20.500.11850/309966","en","American Geophysical Union",,,,"Alternative approaches for using stable water isotopes in catchment hydrology studies",,"Other Conference Item","Metadata only",,"2018-12-11T11:09:13Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,,,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Conference lecture on 12 December 2018",,"H31L-2100","s.l.","published",,,,,,,,,,"2019-02-28T08:56:33Z","2022-03-28T22:23:05Z","true","1 p.","FORM",,,
"500049","20.500.11850/10","Kirchner, James W.",,"2023-05-17T06:29:57Z","2019-01-31T17:02:10Z||2019-04-03T14:13:43Z||2023-05-17T06:29:57Z","2018-12-11",,,,,,,,"http://hdl.handle.net/20.500.11850/322176","en","American Geophysical Union",,,,"Quantifying velocity and celerity in nonlinear, nonstationary runoff generation processes using ensemble unit hydrographs and ensemble hydrograph separation",,"Other Conference Item","Metadata only",,"2019-01-31T17:02:28Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/456735",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Conference lecture held on December 11, 2018.",,"H23D-04","s.l.","published",,,,,,,,,"true","2019-04-03T14:13:54Z","2021-02-15T04:15:00Z","true","1 p.","FORM",,,
"266231","20.500.11850/3","Gardner, Charlie J.||Waeber, Patrick O.||Razafindratsima, Onja H.||Wilmé, Lucienne",,"2018-11-28T15:03:34Z","2018-11-19T06:56:12Z||2018-11-28T15:03:34Z","2018-12","2018-05-02",,,,"0888-8892||1523-1739",,"10.1111/cobi.13124","http://hdl.handle.net/20.500.11850/304493","en","Wiley",,,,"Decision complacency and conservation planning",,"Journal Article","Metadata only",,"2018-11-19T06:56:15Z",,,,,"yes",,,,,,,,,,,,"85050603151",,"000449856900024","Conserv. Biol.","6","Conservation Biology","32","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","08697","08697",,"1472","1469","Malden, MA","published",,,,,,,,,,"2018-11-28T15:03:44Z","2021-02-15T02:45:01Z","true",,"SCOPUS",,,
"289601","20.500.11850/10","Allen, Scott||Kirchner, James W.||Braun, Sabine||Siegwolf, Rolf||Goldsmith, Gregory",,"2019-04-09T14:50:51Z","2019-01-31T17:31:30Z||2019-04-09T14:49:11Z||2019-04-09T14:50:51Z","2018-12",,,,,,,,"http://hdl.handle.net/20.500.11850/322188","en","American Geophysical Union",,,,"Seasonal origins of the precipitation used by trees","Seasonal origins of soil water used by trees","Other Conference Item","Metadata only",,"2019-01-31T17:31:43Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC",,,,,,,,,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/441639",,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","The Poster was presented on Monday, December 10th, 2018.",,,"S.l.","published",,,,,,,,,"false","2019-04-09T14:49:24Z","2019-04-09T14:50:56Z","true","1 p.","FORM",,,
"248250","20.500.11850/3","Thomas, Evert||Atkinson, Rachel||Kettle, Chris J.",,"2018-08-13T09:31:25Z","2018-08-13T08:05:32Z||2018-08-13T09:31:25Z","2018-12","2018-08-03","Conspecific distance and density-dependence is a key driver of tree diversity in natural forests, but the extent to which this process may influence ecosystem service provision is largely unknown. Drawing on a dataset of >135,000 trees from the Peruvian Amazon, we assessed its manifestation in biomass accumulation and seed production of Brazil nut (Bertholletia excelsa) which plays a keystone role in carbon sequestration and NTFP harvesting in Amazonia. For the first time, we find both negative and positive effects of conspecific proximity on seed production and above ground biomass at small and large nearest neighbour distances, respectively. Plausible explanations for negative effects at small distances are fine-scale genetic structuring and competition for shared resources, whereas positive effects at large distances are likely due to increasing pollen limitation and suboptimal growth conditions. Finally, findings suggest that most field plots in Amazonia used for estimating carbon storage are too small to account for distance and density-dependent effects and hence may be inadequate for measuring species-centric ecosystem services.","application/pdf","10.3929/ethz-b-000282079","2045-2322",,"10.1038/s41598-018-29886-6","http://hdl.handle.net/20.500.11850/282079","en","Nature Publishing Group","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"Fine-scale processes shape ecosystem service provision by an Amazonian hyperdominant tree species",,"Journal Article","Open access",,"2018-08-13T08:05:49Z",,,,,"yes",,,,,,,,,,,,"85051065183",,"000440670200053","Sci Rep","1","Scientific Reports","8","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,,"11690","London","published",,,,,,,,,,"2018-08-13T09:31:29Z","2021-02-15T01:14:39Z","true","11 p.","SCOPUS",,,"publishedVersion"
"264468","20.500.11850/3","Gut, Urs",,"2018-11-16T17:55:38Z","2018-11-09T06:01:40Z||2018-11-16T17:55:38Z","2018-12","2018-09-22","The pairwise statistical comparison of ring-width series is the basic analysis of dendro-provenancing studies. It is assumed that statistical proximity indicates similar provenance, but this assumption often remains untested. Especially for small areas with high topographic complexity, it is unknown to what extent statistical proximity and geographical provenance are correlated.  In this paper, dendro-provenancing is framed as a search for statistical Nearest Neighbors. The ‘k-Nearest Neighbors leave one-out cross-validation’ process (k-NN) is proposed as a method for validating dendro-provenancing approaches. Furthermore, it allows researchers to consistently compare and evaluate different proximity measures with respect to their suitability for dendro-provenancing. The validation process is demonstrated on a data set of 401 ring-width series of Norway spruce (Picea abies (L.) H. Karst.) encompassing 15 sites along elevational gradients in north-eastern Switzerland. Moreover, a new type of plot, the so-called scissor plot, is introduced to visualize the k-NN validation process.  Results indicate that dendro-provenancing depends heavily on differences in between sites high-frequency signal. Mean classification success for the relevant stages of the k-NN (CSR¯open)1 ranged from 71.8% to 79.2% for the best performing measures. Classification errors occurred mainly between sites at elevations of 1000–1198 m a.s.l. At all other elevations and between different regions of the study area, only moderate differences in classification performance were detected. Thus, the results indicate that dendro-provenancing may be principally feasible even in a small region as studied here.","application/pdf","10.3929/ethz-b-000302568",,,"10.1016/j.dendro.2018.09.008","http://hdl.handle.net/20.500.11850/302568","en","Elsevier","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","Dendrochronology||Method||Cross-validation||Nearest neighbor classiﬁcation||Elevational transect||Proximity measure","Evaluating the key assumptions underlying dendro-provenancing: How to spruce it up with a scissor plot",,"Journal Article","Open access",,"2018-11-09T06:01:42Z",,,,,"yes",,,,,,,,,,,,"85054928025",,"000451071500015",,,"Dendrochronologia","52","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,"145","131","Amsterdam","published",,,,,,,,,,"2018-11-16T17:55:57Z","2019-02-03T08:47:18Z","true",,"SCOPUS",,,"publishedVersion"
"283245","20.500.11850/10","Floriancic, Marius G.||Berghuijs, Wouter Reinier||Molnar, Peter",,"2019-02-28T09:54:18Z","2019-01-31T15:14:14Z||2019-02-28T09:54:18Z","2018-12-01",,,,,,,,"http://hdl.handle.net/20.500.11850/322071","en",,,,,"Low-flow seasonality across Switzerland - Climatic drivers and the influence of landscape",,"Other Conference Item","Metadata only",,"2019-01-31T15:14:25Z",,,,,"yes","16th Swiss Geoscience Meeting (SGM 2018)","November 30 - December 1, 2018","Bern, Switzerland",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02115 - Dep. Bau, Umwelt und Geomatik / Dep. of Civil, Env. and Geomatic Eng.::02608 - Institut für Umweltingenieurwiss. / Institute of Environmental Engineering||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","02608||03798","03798","Conference lecture on 1 December 2018",,,,"unpublished",,,,,,,,,,"2019-02-28T09:54:22Z","2020-02-15T17:33:34Z","true",,"FORM",,,
"278867","20.500.11850/3","Knapp, Julia L.A.||Cirpka, Olaf A.",,"2019-01-31T16:49:11Z","2019-01-18T04:19:04Z||2019-01-31T16:49:11Z","2018-12","2018-11-21",,,,"0148-0227||2169-8953||2169-8961",,"10.1029/2018JG004797","http://hdl.handle.net/20.500.11850/317082","en","American Geophysical Union",,,"resazurin||reactive tracer test||stream metabolism||hyporheic zone||ecosystem respiration||temporal moment analysis","A Critical Assessment of Relating Resazurin–Resorufin Experiments to Reach-Scale Metabolism in Lowland Streams",,"Journal Article","Metadata only",,"2019-01-18T04:19:08Z",,,,,"yes",,,,,,,,,,,,"85058470703",,"000455437900004","J. geophys. res. Biogeosciences","12","Journal of Geophysical Research: Biogeosciences","123","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798||02722","03798",,"3555","3538","Washington, DC","published",,,,,,,,,,"2019-01-31T16:49:27Z","2019-01-31T16:49:27Z","true",,"SCOPUS",,,
"285670","20.500.11850/10","Knapp, Julia L.A.||Kirchner, James W.",,"2019-03-15T11:52:36Z","2019-01-31T15:08:30Z||2019-03-15T11:52:36Z","2018-12",,,,,,,,"http://hdl.handle.net/20.500.11850/322065","en","American Geophysical Union",,,,"Estimation of Catchment-Scale Reaction Rates from a Comparison of Passive and Reactive Tracer Time Series in Precipitation and Streamflow",,"Other Conference Item","Metadata only",,"2019-01-31T15:08:33Z",,,,,"yes","AGU Fall Meeting 2018","December 10-14, 2018","Washington, DC, USA",,,,,,,,,,"https://agu.confex.com/agu/fm18/meetingapp.cgi/Paper/406405",,,,"AGU Fall Meeting Abstracts",,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Conference lecture on 10 December 2018.",,"H11C-03","s.l.","published",,,,,,,,,,"2019-03-15T11:52:48Z","2022-03-28T22:33:03Z","true","1 p.","FORM",,,
